Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6s1xlnpfyTyJ7mkbYoAI6e,"Nunca sueltes mi mano (Agua)","La teoría de los septenios","Da Skate",2020-11-23,185346,24,false,ruffoj,2024-04-26T04:08:40Z,"hardcore punk,skate punk,melodic hardcore,punk,hardcore","6600 Records",0.378,0.982,4,-2.844,0,0.0848,0.0000101,0.0000397,0.316,0.745,160.035,4
spotify:track:3oE4zL430c18NuiRWDHRLY,"f*ck everything! - Spotify Singles (feat. The Drums)","f*ck everything! - Spotify Singles (feat. The Drums)","EKKSTACY,The Drums",2021-06-23,181828,0,true,ruffoj,2024-04-26T04:08:45Z,"indie","Ekkstacy",0.538,0.722,8,-6.67,0,0.029,0.0155,0.24,0.687,0.535,144.976,4
spotify:track:0LRgY9XAxrghqLDAaJ3o1v,"Buenos tiempos","Por cesárea","Dillom",2024-04-26,183975,59,true,ruffoj,2024-04-29T15:54:11Z,"argentine trap","Bohemian Groove",0.549,0.651,11,-8.402,1,0.048,0.0246,0.76,0.219,0.259,115.671,4
spotify:track:1AanIASgP8SVz1dZBuSoEh,"Asfixia","Lo Más Cercano a Caer","Nenagenix",2023-05-26,222894,30,false,ruffoj,2024-04-29T15:54:17Z,"shoegaze","Bohemian Groove",0.505,0.854,6,-6.854,0,0.0424,0.000229,0.0000184,0.27,0.402,132.045,4
spotify:track:1mukheOiSvWtFPgoKYHdOq,"El Tiempo","Vestigios Del Adiós","Emotive",2015-06-17,193068,8,false,ruffoj,2024-04-29T15:54:22Z,"argentine rock","Daisyflower Records",0.493,0.903,9,-4.03,1,0.238,0.0039,0.0000374,0.104,0.49,183.908,4
spotify:track:2gGULIPYIDcRlGpaqVpHSE,"Fuera de Sektor","Fuera de Sektor","Los Violadores",1986,244560,38,false,ruffoj,2024-04-29T15:54:42Z,"latin rock,argentine rock,rock en español","Umbral",0.428,0.827,2,-7.626,1,0.0317,0.0101,0.00307,0.11,0.579,98.295,4
spotify:track:7fYJx5ytffBv57QGEki4f1,"Nuestras Fronteras","Las Palabras y los Ríos","Eterna Inocencia",2004-03-19,306426,40,false,ruffoj,2024-05-03T01:43:12Z,"melodic hardcore,hardcore punk,punk,hardcore,skate punk","Discos del Sembrador",0.405,0.937,4,-4.485,1,0.059,0.00658,0.000865,0.14,0.216,140.017,4
spotify:track:3m9L5y29zZdc4ZmxgBzvDl,"JOINT","CULIADO","Juan Lopez",2024-04-12,106920,26,true,ruffoj,2024-05-03T01:43:21Z,"","SUB",0.611,0.891,2,-5.976,1,0.0346,0.118,0.00000209,0.347,0.801,81.497,4
spotify:track:4KH1jzECxhbmwF60qh2un7,"Invisible","CLASE B","Mujer Cebra",2023-10-11,192425,32,false,ruffoj,2024-05-03T01:43:31Z,"","Sony Music Argentina",0.456,0.892,11,-5.266,1,0.0514,0.00173,0.000139,0.141,0.504,82.919,4
spotify:track:2icnkjMudyHcjCHbxvYo2l,"Mi peor enemigo","Por cesárea","Dillom,Andrés Calamaro",2024-04-26,237605,56,true,ruffoj,2024-05-08T17:56:27Z,"argentine trap,argentine rock,rock en español,latin rock","Bohemian Groove",0.478,0.595,9,-10.307,1,0.055,0.334,0.0138,0.236,0.362,74.921,4
spotify:track:5R72YHkCCghFqVAP72m241,"Gracias General","El Ciudadano","Diana Nylon",1983-09-01,130104,5,false,ruffoj,2024-05-09T23:33:32Z,"argentine rock","1655367 Records DK",0.357,0.918,9,-5.958,1,0.196,0.00679,0.000268,0.378,0.543,88.646,4
spotify:track:5BAFqBeEQLJyCIQdvEyisj,"La Bruja","La Bruja","Perro Fantasma",2023-08-11,232936,4,false,ruffoj,2024-05-10T04:14:26Z,"","Perro Fantasma",0.621,0.623,11,-5.365,0,0.0259,0.131,0.0133,0.209,0.533,134.979,4
spotify:track:3eI2C0gohXlg4AsavdYSiz,"Punishment","Urban Discipline","Biohazard",1992,284066,50,false,ruffoj,2024-05-10T04:14:39Z,"rap metal,hardcore,groove metal,hardcore punk,rap rock,alternative metal","Roadrunner Records",0.298,0.983,6,-6.566,0,0.464,0.00128,0.0000563,0.78,0.106,89.629,4
spotify:track:44DGNUUvSQjqFxwgFC7wsf,"Lo Único Feo Es No Tener Porque Vivir","Frisbee","boom boom kid",2009-10-14,193333,41,false,ruffoj,2024-05-11T06:26:55Z,"argentine rock,melodic hardcore,hardcore punk,punk","Ugly Records",0.577,0.93,2,-4.553,1,0.0679,0.0102,0.000671,0.0893,0.448,92.539,4
spotify:track:4qXdhvf2VrfYZqAaPTnn3m,"Prisionero","El Templo del Pop","Miranda!",2008-04-01,207613,61,true,ruffoj,2024-05-11T06:27:02Z,"latin pop","Pelo Music S.A.",0.646,0.886,7,-4.277,1,0.0678,0.121,0,0.187,0.674,125.02,4
spotify:track:4KnrDgzd35Ou6xFft35f9K,"Fotografías","Perdidos en traslación","Cursi no muere",2017-07-06,99479,30,false,ruffoj,2024-05-14T03:42:11Z,"screamo,midwest emo,melodic hardcore,post-hardcore,math rock","Cursi no muere",0.4,0.902,4,-4.196,0,0.282,0.277,0.00023,0.115,0.311,84.252,4
spotify:track:2H8upfbsuPJS7YfPVi4Wys,"Ciudad de la Paz","Por cesárea","Dillom",2024-04-26,227145,61,false,ruffoj,2024-05-14T03:42:16Z,"argentine trap","Bohemian Groove",0.753,0.512,7,-8.253,0,0.0313,0.176,0.633,0.104,0.571,115.001,4
spotify:track:1NizWvMm4xUXmFuhUPx06T,"Preñado por el Diablo","Club Camionero","Camionero",2021-10-22,211168,28,false,ruffoj,2024-05-16T01:04:29Z,"","Típica Records",0.27,0.838,4,-9.122,0,0.0552,0.183,0.0132,0.335,0.434,181.868,4
spotify:track:6ZsZxNP4Iwdyp3kd5oFFQN,"The Grudge","Lateralus","TOOL",2001-05-15,515080,63,false,ruffoj,2024-05-16T02:12:08Z,"progressive metal,alternative metal,progressive rock,metal","RCA Records Label",0.423,0.795,2,-7.408,1,0.0374,0.000162,0.843,0.269,0.307,96.045,5
spotify:track:365MK5X3FgXaW7IWmNzNV5,"La edad que tengo","La edad que tengo","La Paloma",2023-10-20,174153,43,false,ruffoj,2024-05-17T03:27:26Z,"","La Castanya",0.242,0.897,6,-4.714,0,0.0927,0.0251,0.000103,0.289,0.481,84.429,4
spotify:track:4HEjFV4NqenAyIhjl4iTpS,"Vertigo","Los Primeros","Suicidas",2016-07-15,135791,0,false,ruffoj,2024-05-17T03:27:35Z,"deathrock,punk","Sabotage Records",0.0771,0.947,1,-3.983,0,0.0825,0.00344,0,0.0976,0.561,196.07,4
spotify:track:4P10JJr6c62iRGDwEB2k9p,"Viejas Esperanzas","Las Palabras y los Ríos","Eterna Inocencia",2004-03-19,149226,37,false,ruffoj,2024-05-21T04:10:38Z,"melodic hardcore,hardcore punk,punk,hardcore,skate punk","Discos del Sembrador",0.326,0.963,4,-3.773,0,0.123,0.0126,0,0.183,0.522,197.98,4
spotify:track:4evySZCcAwLCZrW78KKNxI,"EL FONDO","EL FONDO","Broke Carrey",2022-01-21,179477,23,false,ruffoj,2024-05-21T23:43:30Z,"argentine trap","Bohemian Groove",0.67,0.672,1,-6.957,1,0.256,0.322,0.00000244,0.0717,0.515,173.995,4
spotify:track:3n1y9WuruSJGMPPqf44Q8E,"El Auto","El Auto","los subtítulos",2024-05-17,195781,5,false,ruffoj,2024-05-22T03:15:02Z,"","Los subtítulos",0.408,0.776,11,-9.366,1,0.0357,0.0275,0.802,0.111,0.483,119.108,4
spotify:track:3ud0yZOcltiOc8EUiesKqE,"El Hartazgo","Salas Velatorias","Salas Velatorias",2023-07-21,126964,19,false,ruffoj,2024-05-22T03:15:07Z,"","Salas Velatorias",0.551,0.809,0,-7.772,1,0.0339,0.000342,0.00242,0.181,0.372,152.03,4
spotify:track:5oBLLGfhEHft9tYJnKz7FV,"Esperando la Primavera","Tobogán Andaluz","Tobogán Andaluz",2014-07-11,209000,35,false,ruffoj,2024-05-24T17:54:31Z,"latin indie","Cinema Discos",0.71,0.399,9,-10.502,1,0.0355,0.638,0.000233,0.131,0.329,109.97,4
spotify:track:2lV2UoWhXdvUqZPaPC9iYB,"LA ÚLTIMA","BAM: LA SUITE","Broke Carrey",2023-10-27,197049,27,false,ruffoj,2024-05-25T03:40:59Z,"argentine trap","Bohemian Groove",0.811,0.694,2,-6.574,0,0.0407,0.00209,0.0254,0.172,0.485,130.057,4
spotify:track:3kOAkaJoI5VuwxxPVScDqs,"sembrando el terror","q*","ill quentin",2023-11-08,108273,25,true,ruffoj,2024-05-25T03:41:04Z,"argentine trap","Bohemian Groove",0.647,0.639,11,-10.717,0,0.245,0.0726,0.67,0.19,0.367,156.879,4
