Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0u56clbegXVe6daER5ZHm4,"Wisemen","Back to Bedlam","James Blunt",2005-10-04,221773,51,true,ruffoj,2024-07-12T21:50:56Z,"","Atlantic Records",0.633,0.701,10,-5.969,1,0.0267,0.253,0.0000479,0.165,0.634,151.892,4
spotify:track:1Jaah2tmN9Hv81A87KZ1MU,"Torn","Left Of The Middle","Natalie Imbruglia",1997-11-10,244666,83,false,ruffoj,2024-07-15T23:08:54Z,"","RCA Records Label",0.575,0.886,5,-5.182,1,0.034,0.0647,0.000187,0.709,0.609,96.31,4
spotify:track:60a0Rd6pjrkxjPbaKzXjfq,"In the End","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,216880,92,false,ruffoj,2024-07-18T23:37:17Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,4
spotify:track:3E7ZwUMJFqpsDOJzEkBrQ7,"Can't Get You out of My Head","Fever","Kylie Minogue",2001-10-01,230640,84,false,ruffoj,2024-07-23T23:48:41Z,"dance pop","Parlophone UK",0.766,0.563,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007,4
spotify:track:2E7W1X4maFFcjHrVrFA7Vs,"Bark at the Moon","Bark At The Moon (Expanded Edition)","Ozzy Osbourne",1983-12-10,257120,69,false,ruffoj,2024-07-25T00:47:13Z,"metal,glam metal,heavy metal,hard rock","Epic",0.303,0.961,9,-5.333,0,0.243,0.00253,0.000062,0.132,0.305,146.591,4
spotify:track:3gs2PO5BKRG9oVUDvi59b2,"Some Heads Are Gonna Roll - Remastered","Defenders of the Faith (30th Anniversary Edition) [Remastered]","Judas Priest",1984,246053,32,false,ruffoj,2024-07-25T00:47:17Z,"heavy metal,metal,hard rock,glam metal","Sony Music UK",0.449,0.751,9,-4.702,1,0.0374,0.000769,0.00161,0.611,0.263,122.763,4
spotify:track:17ahSrFGTLNAEAquP1P88n,"Goodbye Kiss","Velociraptor!","Kasabian",2011-09-19,243960,58,false,ruffoj,2024-07-25T21:49:28Z,"britpop,indie,indie rock","Columbia",0.615,0.836,7,-4.648,1,0.0419,0.0788,0,0.62,0.877,123.005,4
spotify:track:1oHClQEgDmmbcEx12Kc5nZ,"4 Minutes (feat. Justin Timberlake & Timbaland)","Celebration (double disc version)","Madonna,Justin Timberlake,Timbaland",2009-09-18,189693,81,false,ruffoj,2024-07-25T21:49:36Z,"","Warner Records",0.753,0.931,2,-4.922,1,0.0653,0.00994,0.00696,0.234,0.767,113.026,4
spotify:track:0MZ4gakE7VEeCaEZ9mVjZy,"Maquillada en la Cama","Maquillada en la Cama","Juliana Gattas",2024-03-07,218663,40,false,ruffoj,2024-07-26T03:42:36Z,"","Sony Music Argentina",0.835,0.671,5,-5.531,0,0.0345,0.00292,0.000391,0.147,0.458,119.986,4
spotify:track:7ddFviC4ObJzizg98keTNt,"Don't Leave Home","Life For Rent","Dido",2003,226560,56,false,ruffoj,2024-07-26T03:42:43Z,"","Sony BMG Music UK",0.542,0.524,6,-8.016,1,0.0382,0.0638,0.0000274,0.0929,0.434,171.863,4
spotify:track:5KDNFlHAdDJ84fhK27c35X,"Judith","Mer De Noms","A Perfect Circle",2000-01-01,247266,70,true,ruffoj,2024-07-26T03:42:50Z,"alternative metal","Virgin Records",0.366,0.894,11,-4.682,0,0.0568,0.0000345,0.17,0.267,0.304,82.305,3
spotify:track:0rUNZQuYQvOz6A6zwyT6tM,"This Is How I Disappear","The Black Parade","My Chemical Romance",2006-10-20,239053,68,false,ruffoj,2024-07-29T20:47:28Z,"emo,pop punk","Reprise",0.242,0.983,2,-2.679,1,0.106,0.0000508,0.0000443,0.303,0.301,163.366,4
spotify:track:56rcBuVd1mpTeqP9cj3szc,"First of the Gang to Die","You Are the Quarry","Morrissey",2004-05-03,218586,65,false,ruffoj,2024-08-01T21:45:12Z,"britpop,madchester,new wave,jangle pop","BMG Rights Management (UK) Ltd.",0.531,0.915,11,-4.237,1,0.0369,0.0119,0,0.14,0.811,134.322,4
spotify:track:62pSYErgGri97X9aIyBzHm,"Got 2 Luv U (feat. Alexis Jordan)","Tomahawk Technique","Sean Paul,Alexis Jordan",2012-01-24,204626,77,false,ruffoj,2024-08-01T21:45:23Z,"dancehall","VP Records",0.605,0.793,7,-3.084,0,0.297,0.0825,0,0.124,0.647,184.032,4
spotify:track:1hO5PM8f3DwiDRkM57cG1b,"Atomic","Atomic/Atomix","Blondie",1999-01-01,230156,46,false,ruffoj,2024-08-01T21:45:30Z,"","Parlophone Catalogue",0.528,0.821,4,-5.489,0,0.0336,0.00147,0.269,0.326,0.742,136.563,4
spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,"Complicated","Let Go","Avril Lavigne",2002-06-04,244506,87,false,ruffoj,2024-08-05T20:26:06Z,"","Arista",0.585,0.776,5,-5.898,1,0.0459,0.0572,0.00000774,0.3,0.427,77.987,4
spotify:track:5axOkQnmQmwtjr4bv1Xt7i,"I Don't Wanna Stop","Black Rain (Expanded Edition)","Ozzy Osbourne",2007-05-18,239826,69,false,ruffoj,2024-08-05T20:26:15Z,"metal,glam metal,heavy metal,hard rock","Epic",0.578,0.937,5,-3.926,1,0.0724,0.000963,0.00000225,0.4,0.769,137.937,4
spotify:track:37luwEg6NhNo1PunTk7rBn,"Un Taxi al Infierno","Maquillada en la Cama","Juliana Gattas",2024-03-07,274511,33,false,ruffoj,2024-08-05T20:26:23Z,"","Sony Music Argentina",0.702,0.885,10,-6.462,0,0.041,0.0116,0.806,0.0951,0.186,122.985,4
spotify:track:5p0KCAuu5nrHpTuAIhHdLw,"Overprotected - Radio Edit","Britney (Digital Deluxe Version)","Britney Spears",2001-10-31,198600,67,false,ruffoj,2024-08-06T23:22:14Z,"pop","Jive",0.682,0.894,0,-1.73,0,0.0727,0.0381,0,0.416,0.845,95.992,4
spotify:track:3l9CW99AHtExIRV4hW2N5m,"Misery Business","Riot!","Paramore",2007-06-12,211520,79,false,ruffoj,2024-08-07T23:31:30Z,"pop punk,emo","Atlantic Records UK",0.517,0.906,1,-3.677,1,0.0735,0.00272,0.00000926,0.113,0.731,172.977,4
spotify:track:4XDBEoD6QFnzDY5oMmNVXN,"The Hollow","Mer De Noms","A Perfect Circle",2000-01-01,178960,63,false,ruffoj,2024-08-07T23:31:51Z,"alternative metal","Virgin Records",0.295,0.789,1,-5.559,1,0.0702,0.000166,0.0898,0.0986,0.515,104.135,4
spotify:track:7lcEnkQEdNzjGGswqrZu6V,"Dr. Psiquiatra","Esto Sí Es Cumbia","Los Ángeles Azules,Gloria Trevi",2018-06-08,202010,55,false,ruffoj,2024-08-08T23:22:46Z,"cumbia,cumbia sonidera,salsa,latin pop","Promotodo Mexico",0.835,0.56,4,-4.506,0,0.175,0.115,0,0.085,0.829,152.178,4
spotify:track:07p0kLnvfQQ2bLujHyzSGK,"Rechazame","Prince Royce","Prince Royce",2010,223200,77,false,ruffoj,2024-08-09T23:23:43Z,"bachata,latin","Sony Music Latin",0.73,0.867,7,-1.946,1,0.0325,0.0749,0.00000681,0.0712,0.929,130.02,4
spotify:track:3jgLpM7XqCoR9rUK49BT7f,"Donde termina el silencio.","CLASE B","Mujer Cebra",2023-10-11,252958,19,false,ruffoj,2024-08-09T23:23:51Z,"","Sony Music Argentina",0.583,0.715,8,-5.896,1,0.0532,0.0257,0,0.0868,0.532,85.973,4
spotify:track:6HuANi4awD1cZX4BgYwiNM,"Don't Think of Me","No Angel","Dido",1999,272373,52,false,ruffoj,2024-08-12T20:57:44Z,"","Sony BMG Music UK",0.511,0.612,8,-7.923,0,0.0299,0.0000822,0.000001,0.0916,0.207,93.861,4
spotify:track:02RDt0n6EXpYemu5mhMxjh,"Days Are Forgotten","Velociraptor!","Kasabian",2011-09-19,302613,51,true,ruffoj,2024-08-12T20:57:55Z,"britpop,indie,indie rock","Columbia",0.588,0.96,9,-5.216,1,0.0933,0.0013,0.000306,0.135,0.321,105.009,4
spotify:track:4UGW0qtMaMHUM9YJGvL5IB,"Roots Bloody Roots (Live) (2022 - Remaster)","Live in São Paulo (2022 - Remaster)","Sepultura",2022-06-24,274080,34,false,ruffoj,2024-08-16T03:30:15Z,"thrash metal,groove metal,metal,death metal,nu metal,heavy metal,speed metal,alternative metal","BMG Rights Management (UK) Ltd.",0.281,0.764,7,-10.556,1,0.0767,0.0572,0.00409,0.835,0.0756,139.715,4
spotify:track:61mWefnWQOLf90gepjOCb3,"Duality","Vol. 3: The Subliminal Verses","Slipknot",2004,252613,85,false,ruffoj,2024-08-16T03:30:21Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,4
spotify:track:5uunXHE4kIW6uS4HWAXaOQ,"Silvera","Magma","Gojira",2016-06-17,212653,66,false,ruffoj,2024-08-20T00:09:07Z,"groove metal,metal,progressive metal,death metal,djent","Roadrunner Records",0.333,0.959,2,-4.348,1,0.072,0.00000319,0.0563,0.299,0.242,137.052,4
spotify:track:78dbqYDvx6FOefROApu9w0,"Inevitable","Donde Estan Los Ladrones","Shakira",1998-09-29,192866,79,false,ruffoj,2024-08-20T00:09:15Z,"latin pop","Epic",0.595,0.461,6,-7.786,1,0.0641,0.269,0.000149,0.123,0.338,91.976,4
spotify:track:2d6m2F4I7wCuAKtSsdhh83,"Famous Last Words","The Black Parade","My Chemical Romance",2006-10-20,299226,77,false,ruffoj,2024-08-21T17:38:51Z,"emo,pop punk","Reprise",0.467,0.883,2,-3.679,0,0.106,0.000321,0.000152,0.125,0.309,122.252,4
spotify:track:0YZEYxd1oiqZRFhnnmTKKi,"Another Life","Disguise","Motionless In White",2019-06-07,205394,75,false,ruffoj,2024-08-26T18:17:50Z,"metalcore,metal,screamo","Roadrunner Records",0.39,0.939,4,-3.828,0,0.0787,0.0000508,0,0.0968,0.495,161.997,4
spotify:track:1JvMOOYZjXLQCZ5p5b0JJD,"Visions in My Head","Inked in Blood (Deluxe Version)","Obituary",2014-10-27,254118,50,false,ruffoj,2024-08-26T18:17:57Z,"death metal,metal,grindcore,thrash metal","Relapse Records",0.5,0.89,6,-5.897,0,0.0859,0.00000771,0.00307,0.112,0.174,130.03,4
spotify:track:4Yf5bqU3NK4kNOypcrLYwU,"Faint","Meteora","Linkin Park",2003-03-25,162106,87,false,ruffoj,2024-08-26T18:18:40Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.554,0.98,4,-3.514,1,0.108,0.127,0,0.0833,0.611,135.12,4
spotify:track:10rChmECwPcvTTj4w07hq4,"Welcome to My Life","Still Not Getting Any...","Simple Plan",2004-10-25,206773,74,false,ruffoj,2024-08-26T18:34:15Z,"pop punk,punk,emo","143/Atlantic Entertainment",0.421,0.858,1,-4.535,1,0.0963,0.0134,0,0.067,0.491,173.255,4
spotify:track:1vxu8vMNshg5J8z3oA7QJZ,"Parabola","Lateralus","TOOL",2001-05-15,363680,69,false,ruffoj,2024-08-28T21:48:11Z,"progressive metal,alternative metal,progressive rock,metal","RCA Records Label",0.314,0.929,9,-6.238,1,0.105,0.0000203,0.516,0.139,0.285,100.935,4
spotify:track:0uFRDicafe9Gto0v2pk3kT,"Cirugía","Por cesárea","Dillom",2024-04-26,216837,65,false,ruffoj,2024-08-28T21:48:20Z,"argentine trap","Bohemian Groove",0.561,0.434,2,-9.196,1,0.0256,0.112,0.311,0.268,0.416,98.002,4
spotify:track:3IVRacQwKGORqcxNEPMXlA,"Basket Case","Dookie (30th Anniversary Deluxe Edition)","Green Day",2023-08-17,182916,46,false,ruffoj,2024-08-28T21:48:28Z,"punk,pop punk","Reprise",0.31,0.923,3,-5.242,1,0.0771,0.00583,0.00000177,0.087,0.747,177.029,4
spotify:track:7pFTrV0NyzWGQQGXHbtMO6,"Ojos Delineados","Espectador Entra a Escena","los subtítulos,Alejandro Schuster",2022-08-12,257217,4,false,ruffoj,2024-08-29T04:54:20Z,"","2022 Los Subtítulos",0.603,0.758,7,-7.115,1,0.028,0.0702,0.000396,0.115,0.381,114.967,4
spotify:track:33I0AqF4Db6ROUq7NcKCVS,"El Deseo","Días de Guerra","Revistas",2024-05-31,164656,26,false,ruffoj,2024-09-02T21:25:32Z,"","Revistas",0.441,0.911,2,-6.994,1,0.035,0.0163,0.128,0.438,0.537,180.101,4
spotify:track:3gsTZyZ8ZsRZyJwXT8dJ3q,"Víctimas del Vaciamiento","Intérpretes","Hermetica",1990-01-01,227306,37,false,ruffoj,2024-09-05T21:32:31Z,"argentine rock,heavy metal","DBN",0.291,0.829,9,-8.251,1,0.058,0.000704,0.0000961,0.128,0.528,161.374,4
spotify:track:300aLkaZSnTdQgK3zPKQLn,"Sintoma De La Infeccion","Serie De Oro","Malon",2004-01-01,255400,22,false,ruffoj,2024-09-06T14:15:34Z,"heavy metal","EMI Argentina",0.385,0.902,4,-6.595,0,0.068,0.000214,0.000115,0.148,0.607,140.671,4
spotify:track:1AQW510iM5rLvcw02pBy30,"Cráneo Candente","Intérpretes","Hermetica",1990-01-01,262600,38,false,ruffoj,2024-09-06T14:15:39Z,"argentine rock,heavy metal","DBN",0.245,0.845,11,-8.308,0,0.0728,0.00114,0.000013,0.225,0.372,158.515,4
spotify:track:1gPRoX2iVsbJnkWBGrW7Kg,"Ain’t No Thief","Cave World","Viagra Boys",2022-07-08,239349,52,true,ruffoj,2024-09-11T20:47:53Z,"post-punk,egg punk","YEAR0001",0.51,0.959,4,-2.494,0,0.22,0.0000325,0.0944,0.355,0.564,129.997,4
spotify:track:0iiblPKGVcNWh8l7uDuUDe,"Such A Witch","SÚPER PREMIUM ULTRA","Dum Chica",2024-09-05,242186,31,true,ruffoj,2024-09-11T20:47:59Z,"riot grrrl","Dum Chica",0.337,0.85,9,-9.199,1,0.0642,0.232,0.181,0.388,0.503,163.853,4
spotify:track:7APc5ZfrRrFGxzfeMKjyDb,"Se Parece Mas a Ti","Pa Juga","Los Olestar",2013-05-03,161786,35,false,ruffoj,2024-09-11T20:54:38Z,"mexican ska,argentine rock,punk","Pinhead Records",0.506,0.968,2,-3.473,1,0.0525,0.00293,0,0.353,0.272,98.85,4
spotify:track:5NrrUjrCOCvGEpb60QkJ7I,"MICK JAGGER","AD HONOREM Vol. 1","Dillom",2023-10-11,136314,50,true,ruffoj,2024-09-12T21:42:38Z,"argentine trap","Bohemian Groove",0.639,0.504,1,-7.462,1,0.408,0.204,0.00157,0.0818,0.736,171.513,4
spotify:track:1YU716HFdryq3Pq1wDl5VV,"OVARIO","AD HONOREM Vol. 1","Dillom,ill quentin",2023-10-11,173023,46,true,ruffoj,2024-09-19T18:14:39Z,"argentine trap","Bohemian Groove",0.563,0.555,6,-6.861,1,0.263,0.376,0.184,0.133,0.385,184.581,3
spotify:track:1NifPXLqCL1KRCmA4Na5JS,"Delfos","Delfos","Rosa Profunda",2021-11-24,215242,28,false,ruffoj,2024-09-24T00:30:52Z,"","Rosa Profunda",0.593,0.486,10,-11.819,0,0.0451,0.265,0.472,0.0772,0.47,164.071,4
spotify:track:4GcikTMFIyhhgR71CDk3g2,"Contraluz","Vacíos y Variables","Pyramides",2017-02-01,149674,8,false,ruffoj,2024-09-26T14:43:27Z,"post-punk,latin indie,cold wave,darkwave","Fuego Amigo Discos",0.496,0.838,5,-7.977,0,0.0329,0.197,0.829,0.129,0.476,93.018,4
spotify:track:26qmCEncx9paaaIQro9K8A,"Ya No","Mosaicos","ODD MAMI,Saramalacara",2022-09-29,149773,44,false,ruffoj,2024-09-27T19:03:18Z,"hyperpop,argentine trap","Bohemian Groove",0.437,0.839,5,-7.582,1,0.0358,0.000288,0.000112,0.335,0.544,89.919,4
spotify:track:3h8qczgKlInZl34q4tEmEd,"Doctor","Life/Death","Teen Mortgage",2019-06-21,126006,52,false,ruffoj,2024-09-27T19:03:28Z,"egg punk,punk,garage rock","King Pizza Records",0.501,0.961,11,-7.224,0,0.0348,0.000863,0.797,0.0667,0.592,97.489,4
spotify:track:37C2eshetthNcnTu59a5yy,"Research Chemicals","Consistency of Energy","Viagra Boys",2016-01-06,379248,53,true,ruffoj,2024-10-02T23:45:29Z,"post-punk,egg punk","YEAR0001",0.445,0.883,0,-5.589,0,0.0313,0.00000475,0.831,0.0894,0.449,136.821,4
spotify:track:5ACDC1gxAUXYDWherVKOiX,"Punk Rock Song","The Gray Race","Bad Religion",1996-02-27,147173,58,true,ruffoj,2024-10-03T22:40:30Z,"punk,skate punk,hardcore punk,melodic hardcore,ska punk","Epitaph",0.318,0.984,1,-4.673,0,0.0806,0.000215,0.000244,0.386,0.716,177.229,4
spotify:track:5fPkqZTuDh77kwx53nPHD1,"Redondel","Ojos Cuadrados","Mi Nave",2018-06-26,198099,6,false,ruffoj,2024-10-09T14:31:19Z,"","Polvo Bureau",0.4,0.89,0,-4.717,1,0.0347,0.000237,0.614,0.175,0.671,171.932,4
spotify:track:1UjHRALJEtjgXd3uKC6MnF,"Una Temporada en el Invierno","Una Temporada en el Invierno","Fin del Mundo",2024-08-09,236081,12,false,ruffoj,2024-10-11T12:47:32Z,"latin indie,shoegaze","Fin del Mundo",0.497,0.745,2,-8.033,1,0.0294,0.0000236,0.6,0.253,0.119,131.936,4
spotify:track:69uzV9BQmNLPIu0dWK4Tbe,"DON'T PLAY","GLOW ON","Turnstile",2021-08-27,133353,63,false,ruffoj,2024-10-16T21:31:46Z,"hardcore punk,hardcore","Roadrunner Records",0.543,0.948,7,-3.841,1,0.0596,0.000019,0.144,0.196,0.642,117.998,4
spotify:track:6IDE0OVT1hcMdf1bCqxxSp,"El Día de las Flores","Hicimos Crecer un Bosque","Fin del Mundo,Eterna Inocencia",2024-10-18,218039,33,false,ruffoj,2024-10-19T02:30:06Z,"latin indie,shoegaze,melodic hardcore,hardcore punk,punk,hardcore,skate punk","Fin del Mundo",0.583,0.704,1,-8.148,0,0.0271,0.000063,0.444,0.151,0.343,145.026,4
spotify:track:0CmVeXcmPTzqPU3LDJV74s,"Yo Voy - Post-Punk Version","Yo Voy (Post-Punk Version)","Depresión Post-Mortem",2021-04-10,262909,46,false,ruffoj,2024-10-23T05:16:24Z,"post-punk,darkwave","Depresión Post-Mortem",0.54,0.731,0,-8.702,0,0.0716,0.141,0,0.0819,0.351,168.002,4
spotify:track:7MnT7msJZg3XBAS0OTfGrB,"Tempo Perdido","Dois","Legião Urbana",1986-01-01,302200,77,false,ruffoj,2024-10-23T05:16:29Z,"brazilian rock,mpb,brazilian pop","EMI Brazil",0.293,0.662,4,-13.076,0,0.0486,0.0079,0.00112,0.271,0.221,186.007,4
spotify:track:2gd7F85A5ALa0irsyHQBa9,"Altitude","Spiral In A Straight Line","Touché Amoré",2024-10-11,206803,31,false,ruffoj,2024-10-28T19:01:55Z,"melodic hardcore,post-hardcore,screamo,hardcore,midwest emo","Rise Records",0.223,0.925,3,-8.485,0,0.461,0.000463,0.000566,0.316,0.158,155.867,4
spotify:track:0kjrG36QkUzHmJHJ5Db6M9,"Genio del Abasto","Club Camionero","Camionero",2021-10-22,308552,40,false,ruffoj,2024-10-30T18:03:25Z,"","Típica Records",0.576,0.512,7,-9.374,1,0.0425,0.203,0.00000121,0.173,0.55,107.108,4
spotify:track:65Qjvcf4RFQPwwkz7T6l76,"¿Qué Vas A Hacer Tan Sola Hoy? - Spotify Singles","¿Qué Vas A Hacer Tan Sola Hoy? - Spotify Singles","Dillom",2024-11-07,191469,48,false,ruffoj,2024-11-19T21:48:31Z,"argentine trap","Bohemian Groove",0.624,0.838,9,-5.549,0,0.0345,0.0134,0.475,0.232,0.818,129.007,4
spotify:track:01lNUkRTKO42NZUdhlSZm4,"La Noche","Miedo","Adicta",2003-02-10,233720,21,false,ruffoj,2024-11-26T23:53:50Z,"electropop,latin indie","Isopo Discos",0.69,0.746,7,-6.169,1,0.0715,0.00133,0.00000149,0.103,0.928,125.022,4
spotify:track:0wFW5ptomRee5uo5QELIjp,"Adolescentes","Ciudad de Brahman","Los Natas",1999-01-01,265080,21,false,ruffoj,2025-03-25T18:44:38Z,"stoner rock,space rock,stoner metal,sludge metal,argentine rock","SOUTH AMERICAN SLUDGE RECORDS / Natas",0.225,0.614,11,-9.066,0,0.0338,0.584,0.434,0.274,0.234,158.292,4
spotify:track:6DMYKSZ4AzhkqplWvFMeUo,"Muere Animal","Ep.1","ILESO",2022-08-19,257045,4,false,ruffoj,2025-03-25T18:45:21Z,"noise rock,post-hardcore","ILESO",0.367,0.653,2,-9.712,1,0.0307,0.0111,0.024,0.108,0.565,159.713,4
spotify:track:1gbL6TqKuJOaUstIvMBMNc,"Flashdance...What A Feeling","Flashdance (Original Soundtrack From The Motion Picture)","Irene Cara",1983-04-11,233240,3,false,ruffoj,2025-04-13T22:40:25Z,"","Mercury Records",0.647,0.512,7,-11.173,0,0.0335,0.117,0.00000216,0.184,0.491,123.578,4
spotify:track:6ERT8hKy0fBbTLebsjnDu5,"Nom Nom Nom","Nom Nom Nom / Cat Burglar","Hot Chip,Sleaford Mods",2024-11-26,210480,39,true,ruffoj,2025-04-13T22:40:31Z,"alternative dance,new rave,indie dance,post-punk","Domino Recording Co",0.793,0.815,0,-6.095,1,0.088,0.225,0.00000543,0.0953,0.918,125.986,4
spotify:track:4DWvOeinTzhj4DeGYn9tqz,"Tú Eres Su Seguridad","Intérpretes","Hermetica",1990-01-01,304600,47,false,ruffoj,2025-04-13T22:40:40Z,"argentine rock,heavy metal","DBN",0.434,0.676,0,-8.545,1,0.0305,0.00236,0,0.398,0.486,127.331,4
spotify:track:0Wwb8pi1LU7JUlXfzKsURU,"Sacate la Mierda","Carajo","Carajo",2002-08-01,237466,43,false,ruffoj,2025-04-14T21:44:19Z,"argentine rock","Guagua Musica",0.561,0.972,0,-3.761,0,0.0822,0.000164,0.0000251,0.504,0.382,108.981,4
spotify:track:3qVQafWhSWCSIevjiPsxPT,"Sigo Pensando Igual","Fonso y Las Paritarias","Fonso,Las Paritarias",2025-03-28,231343,28,false,ruffoj,2025-04-14T21:44:33Z,"latin indie","Indie Folks",0.446,0.944,7,-5.608,1,0.12,0.000271,0.000368,0.157,0.207,154.971,4
spotify:track:2YpGNSvoxXlCqUAh6uGomm,"Que Bien Te Vas","Que Bien Te Vas","Theo y Simón",2025-02-28,164163,11,false,ruffoj,2025-04-15T22:45:01Z,"","Theo y Simón",0.464,0.913,4,-6.34,1,0.0359,0.000603,0.000379,0.105,0.492,151.906,4
spotify:track:4gyVO49rTCm0JsSbKMqSxX,"Sucio y Desprolijo","Pappo's Blues Vol. 3","Pappo's Blues",1972-12-01,275386,50,false,ruffoj,2025-04-15T22:45:13Z,"argentine rock,latin rock","Pappo Records",0.366,0.937,10,-8.318,0,0.118,0.00573,0.00407,0.132,0.469,74.409,4
spotify:track:3IjrDeaVRFEi3GgHI5xyjX,"Detroit Rock City","Smashes Thrashes And Hits","KISS",1988-11-15,227466,53,false,ruffoj,2025-04-22T23:21:37Z,"glam metal,glam rock,hard rock,rock,classic rock","Mercury",0.486,0.847,8,-10.982,1,0.0965,0.00964,0.000283,0.15,0.337,90.421,4
spotify:track:2JxftzENN2rhpXxnOmtQBR,"My Prerogative","Greatest Hits: My Prerogative","Britney Spears",2004-11-08,213893,59,false,ruffoj,2025-04-22T23:21:52Z,"pop","Jive",0.749,0.938,10,-4.423,0,0.118,0.0127,0.00000196,0.103,0.619,111.014,4
spotify:track:31RTFPrB7wmYBhlkM2ILXG,"Sugar","System Of A Down (Deluxe Version)","System Of A Down",1998,153800,56,true,ruffoj,2025-04-22T23:22:11Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.451,0.889,1,-2.693,1,0.261,0.00167,0.00215,0.258,0.586,131.073,4
spotify:track:4OROzZUy6gOWN4UGQVaZMF,"The Trooper - 2015 Remaster","Piece of Mind (2015 Remaster)","Iron Maiden",1983,252733,78,false,ruffoj,2025-04-22T23:22:18Z,"heavy metal,metal,hard rock,rock","Parlophone UK",0.285,0.908,4,-4.601,0,0.0705,0.0318,0.00909,0.311,0.669,159.756,4
spotify:track:08hn5vq1XnVmVQI4mfzsXa,"A Touch of Evil","Painkiller","Judas Priest",1990-09-26,344400,54,false,ruffoj,2025-04-22T23:22:34Z,"heavy metal,metal,hard rock,glam metal","Columbia",0.416,0.797,0,-4.967,1,0.0368,0.000199,0.0000303,0.0831,0.165,98.133,4
spotify:track:0W0hVPxU8qKgfJbacwbT4f,"Distinto","Rio de la Plata","Broke Carrey",2024-08-28,174203,29,true,ruffoj,2025-04-24T23:09:44Z,"argentine trap","Bohemian Groove",0.59,0.453,9,-8.864,1,0.117,0.0617,0.392,0.293,0.309,176.05,4
spotify:track:2Z17Q91PB11tzkDh0QQtd6,"Diamonds and Rust","Sin After Sin","Judas Priest",1977-11-15,203533,50,false,ruffoj,2025-04-30T23:30:11Z,"heavy metal,metal,hard rock,glam metal","Columbia",0.469,0.875,4,-5.072,0,0.0952,0.0685,0,0.102,0.377,134.36,4
spotify:track:5lJpb25HCaQ6rKRaRv3zpl,"Aterrizar","Obras de Juventud","Juvenilia",2018-01-01,138853,8,false,ruffoj,2025-04-30T23:30:21Z,"post-punk,deathrock","Inerme Discos",0.401,0.953,10,-3.958,0,0.0527,0.000273,0.0000115,0.396,0.516,160.087,4
spotify:track:5jmI3C1BNZfEYzaLUy1RUm,"Relentless","Deny All Knowledge Of Complicity","Pigeon",2021-06-11,200503,7,false,ruffoj,2025-04-30T23:30:32Z,"egg punk,post-punk,deathrock,cold wave","ADAGIO830",0.497,0.801,10,-6.578,0,0.101,0.0367,0.15,0.171,0.556,151.889,4
spotify:track:4GCXxLQnqf6pP6SI7ljbZV,"Uno II","viagr aboys","Viagra Boys",2025-04-25,135831,64,true,ruffoj,2025-04-30T23:30:39Z,"post-punk,egg punk","Shrimptech Enterprises",0.753,0.754,11,-6.431,0,0.0385,0.0166,0.0639,0.566,0.872,136.965,4
spotify:track:0w8WLoEoPnAp2hiDiHQn7O,"You Have Killed Me","Ringleader of the Tormentors","Morrissey",2006-04-03,188400,0,false,ruffoj,2025-04-30T23:30:45Z,"britpop,madchester,new wave,jangle pop","BMG Rights Management (UK) Limited",0.504,0.846,8,-4.72,0,0.041,0.0737,0,0.104,0.382,129.963,4
spotify:track:55XYDj1z6UvXTTxIL2oLHI,"Luz de Piedra de Luna","Mena","Javiera Mena",2010-09-01,272226,47,false,ruffoj,2025-05-08T22:48:12Z,"latin indie,electropop,latin alternative","Meni",0.686,0.758,11,-6.458,0,0.0337,0.133,0.000929,0.0706,0.771,116.985,4
spotify:track:17YDwIluwr5yEoKJQr1osF,"INTENTÉ SALVAR A DIOS","BAR SCORPIOS","BLAIR",2025-04-23,178055,38,false,ruffoj,2025-05-08T22:48:23Z,"","Sony Music Argentina",0.63,0.671,4,-6.23,0,0.0368,0.478,0.00417,0.679,0.0862,120.018,4
spotify:track:3H1ZT0BXPlj4tJpCXqk3rq,"Rápido Mamá","Rápido Mamá","María Wolff",2025-02-27,159493,41,false,ruffoj,2025-05-08T22:48:48Z,"latin indie","Geiser Discos",0.843,0.62,11,-5.961,0,0.0332,0.192,0.282,0.0988,0.953,133.983,4
spotify:track:5Xs1lp4eFxixXW9DkBYkdh,"The Night","The Night","Morphine",2000-02-01,288666,47,false,ruffoj,2025-05-08T22:48:59Z,"","Geffen",0.578,0.326,1,-15.136,1,0.034,0.818,0.634,0.115,0.266,91.568,4
